page;table;row_in_table;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
1;1;2;TOULOUSE;RUE;1814;1;;9999;;PI;LGT OZENNE - TOULOUSE
1;1;3;TOULOUSE;CHEMIN;ABADIE;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;4;TOULOUSE;CHEMIN;ABBE HENRI GREGOIRE;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;5;TOULOUSE;RUE;ABEL AUTOFAGE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
1;1;6;TOULOUSE;RUE;ABREUVOIRUE ST PIERRE;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
1;1;7;TOULOUSE;RUE;ACHILLE MIR;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;8;TOULOUSE;RUE;ACHILLE VIADIEU;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
1;1;9;TOULOUSE;RUE;ADOLPHE COLL;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;10;TOULOUSE;ROND POINT;ADOLPHE JAUREGUY;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
1;1;11;TOULOUSE;RUE;ADOLPHE TALAZAC;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;12;TOULOUSE;RUE;ADONIS;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
1;1;13;TOULOUSE;RUE;ADRIEN LEGENDRE;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
1;1;14;TOULOUSE;RUE;ADRIENNE BOLLAND;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
1;1;15;TOULOUSE;RUE;AFFRE;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
1;1;16;TOULOUSE;PLACE;AGAPITO NADAL;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;17;TOULOUSE;RUE;AGATHOISE;1;;9999;;PI;LGT OZENNE - TOULOUSE
1;1;18;TOULOUSE;RUE;AIMERIC DE PEGUILHAN;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;19;TOULOUSE;RUE;ALAIN FOURNIER;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;20;TOULOUSE;ROND POINT;ALAIN GAZEAUD;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
1;1;21;TOULOUSE;AVENUE;ALAIN GERBAULT;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;22;TOULOUSE;RUE;ALAIN LESAGE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
1;1;23;TOULOUSE;ESPACE;ALAIN SAVARY;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
1;1;24;TOULOUSE;RUE;ALARIC II;1;;9999;;PI;LGT OZENNE - TOULOUSE
1;1;25;TOULOUSE;RUE;ALBANIE REGOURD;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
1;1;26;TOULOUSE;AVENUE;ALBERT BEDOUCE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
1;1;27;TOULOUSE;PASSAGE;ALBERT CAMUS;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;28;TOULOUSE;RUE;ALBERT CAROVIS;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;29;TOULOUSE;RUE;ALBERT EINSTEIN;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;30;TOULOUSE;IMPASSE;ALBERT FRONTY;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
1;1;31;TOULOUSE;RUE;ALBERT LAUTMANN;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
1;1;32;TOULOUSE;RUE;ALBERT MAMY;1;;9999;;PI;LGT STEPHANE HESSEL - TOULOUSE
1;1;33;TOULOUSE;RUE;ALBERT REGAGNON;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;34;TOULOUSE;RUE;ALBERT SOREL;1;;9999;;PI;LGT OZENNE - TOULOUSE
1;1;35;TOULOUSE;ROND POINT;ALBERT VANDEL;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;36;TOULOUSE;PASSERELLE;ALBERT VIALA;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
1;1;37;TOULOUSE;RUE;ALBERTO SANTOS DUMONT;1;;9999;;PI;LPO BELLEVUE - TOULOUSE
1;1;38;TOULOUSE;RUE;ALBUS;1;;9999;;PI;LGT DES ARENES - TOULOUSE
1;1;39;TOULOUSE;RUE;ALESSANDRO VOLTA;1;;9999;;PI;LGT OZENNE - TOULOUSE
1;1;40;TOULOUSE;ROND POINT;ALEX JANY;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;41;TOULOUSE;RUE;ALEX COUTET;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;42;TOULOUSE;RUE;ALEXANDRA DAVID NEEL;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;43;TOULOUSE;IMPASSE;ALEXANDRE ANSALDI;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;44;TOULOUSE;PLACE;ALEXANDRE BISSON;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;45;TOULOUSE;RUE;ALEXANDRE CABANEL;1;;9999;;PI;LGT OZENNE - TOULOUSE
1;1;46;TOULOUSE;RUE;ALEXANDRE DUCOS;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
1;1;47;TOULOUSE;RUE;ALEXANDRE DUMEGE;1;;9999;;PI;LPO DEODAT DE SEVERAC - TOULOUSE
1;1;48;TOULOUSE;RUE;ALEXANDRE FALGUIERE;1;;9999;;PI;LGT OZENNE - TOULOUSE
1;1;49;TOULOUSE;RUE;ALEXANDRE FLEMING;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
1;1;50;TOULOUSE;RUE;ALEXANDRE FOURTANIER;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
1;1;51;TOULOUSE;RUE;ALEXANDRE SOUMET;1;;9999;;PI;LGT STEPHANE HESSEL - TOULOUSE
1;1;52;TOULOUSE;IMPASSE;ALEXIS TOCQUEVILLE;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
